CompanyID,CompanyName,Sector,Country,City,FoundedYear,Stage,VerificationStatus,VerificationStep,CTI_Score,CTI_Tier,ProfileCompletenessPct,Employees,AnnualRevenueUSD,TotalFundingUSD,HasFinancials,DiasporaOwned,WomenLed,YouthLed,ListingBucket,Website,Email,Phone,Description,DataSourcesCount,LastUpdated
RMC-100022,Savannah Build,Construction & Real Estate,Senegal,Dakar,2010,Mature,Verified,3,66.4,Gold,64,111,689382.88,5004141.6,False,False,False,False,Latest,https://savannahbuild.africa,info@savannahbuild.africa,+234-92-2876,"Savannah Build operates in construction & real estate from Dakar, Senegal, serving local and regional markets.",8,2025-10-01
RMC-100023,Zuri Mall,Retail & Ecommerce,Tunisia,Tunis,2018,Mature,Verified,3,81.2,Platinum,80,23,78645.73,0.0,True,False,False,False,Standard,https://zurimall.africa,info@zurimall.africa,+223-14-5808,"Zuri Mall operates in retail & ecommerce from Tunis, Tunisia, serving local and regional markets.",0,2025-01-30
RMC-100024,Kora Makers,Manufacturing,Zambia,Lusaka,2019,Growth,Unverified,3,59.9,Silver,64,68,39855.21,7276688.26,False,False,False,True,Standard,https://koramakers.africa,info@koramakers.africa,+20-92-5315,"Kora Makers operates in manufacturing from Lusaka, Zambia, serving local and regional markets.",1,2025-09-22
RMC-100025,Savannah Agro,Agriculture,Uganda,Kampala,2017,Idea,Unverified,3,92.8,Platinum,58,7,36.19,17336.42,True,True,True,True,Latest,https://savannahagro.africa,info@savannahagro.africa,+233-38-9317,"Savannah Agro operates in agriculture from Kampala, Uganda, serving local and regional markets.",1,2025-08-03
RMC-100026,Kora Swift,Logistics & Mobility,Tanzania,Dar es Salaam,2018,Growth,Unverified,1,54.0,Silver,55,49,321606.3,1613246.43,True,False,False,False,Standard,https://koraswift.africa,info@koraswift.africa,+216-69-9689,"Kora Swift operates in logistics & mobility from Dar es Salaam, Tanzania, serving local and regional markets.",2,2025-02-20
RMC-100027,Atlas Bazaar,Retail & Ecommerce,Mozambique,Maputo,2012,Early Revenue,Pending,2,61.3,Silver,54,15,31271.92,0.0,False,False,True,False,Suggested,https://atlasbazaar.africa,info@atlasbazaar.africa,+20-14-6947,"Atlas Bazaar operates in retail & ecommerce from Maputo, Mozambique, serving local and regional markets.",2,2025-08-12
RMC-100028,Blue Farms,Agriculture,Rwanda,Kigali,2015,Early Revenue,Verified,3,70.4,Gold,70,8,77113.04,172865.31,False,True,True,True,Suggested,https://bluefarms.africa,info@bluefarms.africa,+231-10-2403,"Blue Farms operates in agriculture from Kigali, Rwanda, serving local and regional markets.",4,2025-08-18
RMC-100029,Nova Wellness,Healthcare,Namibia,Windhoek,2009,Mature,Pending,3,66.2,Gold,30,43,157929.02,14154607.79,True,False,True,True,Latest,https://novawellness.africa,info@novawellness.africa,+214-16-8787,"Nova Wellness operates in healthcare from Windhoek, Namibia, serving local and regional markets.",0,2025-09-08
RMC-100030,Zuri Outlet,Retail & Ecommerce,Uganda,Kampala,2020,Idea,Verified,3,51.1,Silver,100,10,106.54,16156.4,False,False,False,True,Standard,https://zurioutlet.africa,info@zurioutlet.africa,+232-54-4470,"Zuri Outlet operates in retail & ecommerce from Kampala, Uganda, serving local and regional markets.",3,2025-06-19
RMC-100031,Delta Brew,Food & Beverage,Tunisia,Tunis,2018,Prototype,Unverified,2,80.0,Platinum,57,24,41.83,286889.12,True,False,False,True,Standard,https://deltabrew.africa,info@deltabrew.africa,+218-91-6107,"Delta Brew operates in food & beverage from Tunis, Tunisia, serving local and regional markets.",1,2025-08-15
RMC-100032,Nile Fabrication,Manufacturing,Côte d’Ivoire,Abidjan,2010,Prototype,Verified,3,76.5,Gold,78,39,320.79,132030.04,True,False,False,True,Standard,https://nilefabrication.africa,info@nilefabrication.africa,+227-15-5061,"Nile Fabrication operates in manufacturing from Abidjan, Côte d’Ivoire, serving local and regional markets.",1,2025-04-04
RMC-100033,Nova Cart,Retail & Ecommerce,Rwanda,Kigali,2014,Early Revenue,Verified,3,68.2,Gold,100,18,78517.77,1853141.86,False,True,True,True,Standard,https://novacart.africa,info@novacart.africa,+20-75-4770,"Nova Cart operates in retail & ecommerce from Kigali, Rwanda, serving local and regional markets.",1,2025-09-29
RMC-100034,Maji Works,Manufacturing,Algeria,Algiers,2016,Idea,Verified,3,65.8,Gold,64,23,80.22,62546.3,False,False,False,False,Standard,https://majiworks.africa,info@majiworks.africa,+212-90-1964,"Maji Works operates in manufacturing from Algiers, Algeria, serving local and regional markets.",1,2025-07-31
RMC-100035,Nova Tech,ICT / Software,Rwanda,Kigali,2013,Early Revenue,Pending,1,53.3,Silver,49,13,85544.94,0.0,True,False,False,False,Suggested,https://novatech.africa,info@novatech.africa,+223-09-9423,"Nova Tech operates in ict / software from Kigali, Rwanda, serving local and regional markets.",0,2025-09-02
RMC-100036,Sahara Wind,Energy & Renewables,Senegal,Dakar,2014,Early Revenue,Verified,3,45.4,Silver,100,34,8300.54,534959.82,False,True,True,False,Latest,https://saharawind.africa,info@saharawind.africa,+218-69-3167,"Sahara Wind operates in energy & renewables from Dakar, Senegal, serving local and regional markets.",3,2025-08-28
RMC-100037,Baobab Cargo,Logistics & Mobility,Algeria,Algiers,2011,Prototype,Unverified,1,61.0,Silver,67,7,131.33,139271.66,True,True,False,True,Suggested,https://baobabcargo.africa,info@baobabcargo.africa,+220-60-7669,"Baobab Cargo operates in logistics & mobility from Algiers, Algeria, serving local and regional markets.",0,2025-08-01
RMC-100038,Nova Green,Agriculture,Ghana,Accra,2017,Growth,Verified,3,47.9,Silver,57,25,411458.66,1554849.83,True,False,False,False,Latest,https://novagreen.africa,info@novagreen.africa,+226-45-7939,"Nova Green operates in agriculture from Accra, Ghana, serving local and regional markets.",2,2024-12-06
RMC-100039,Nile Voyage,Tourism & Hospitality,Zambia,Lusaka,2018,Growth,Unverified,1,82.2,Platinum,87,29,393423.34,2144480.25,False,False,True,True,Standard,https://nilevoyage.africa,info@nilevoyage.africa,+211-86-2612,"Nile Voyage operates in tourism & hospitality from Lusaka, Zambia, serving local and regional markets.",1,2025-04-07
RMC-100040,Delta Harvest,Agriculture,Cameroon,Douala,2012,Early Revenue,Verified,3,65.8,Gold,89,17,55356.53,0.0,False,True,False,False,Suggested,https://deltaharvest.africa,info@deltaharvest.africa,+213-31-4139,"Delta Harvest operates in agriculture from Douala, Cameroon, serving local and regional markets.",1,2025-09-16
RMC-100041,Savannah Makers,Manufacturing,Tanzania,Dar es Salaam,2012,Prototype,Pending,2,93.2,Platinum,58,11,112.09,573615.42,True,True,False,False,Standard,https://savannahmakers.africa,info@savannahmakers.africa,+214-54-4006,"Savannah Makers operates in manufacturing from Dar es Salaam, Tanzania, serving local and regional markets.",1,2025-02-04
RMC-100042,Maji Shop,Retail & Ecommerce,Zimbabwe,Harare,2023,Idea,Verified,3,71.5,Gold,89,13,15.7,33503.22,True,False,True,False,Latest,https://majishop.africa,info@majishop.africa,+227-70-2604,"Maji Shop operates in retail & ecommerce from Harare, Zimbabwe, serving local and regional markets.",6,2025-07-25
RMC-100043,Sahara Café,Food & Beverage,Kenya,Nairobi,2019,Mature,Verified,3,61.4,Silver,86,35,383583.18,6463488.36,False,False,False,False,Standard,https://saharacafé.africa,info@saharacafé.africa,+20-11-4872,"Sahara Café operates in food & beverage from Nairobi, Kenya, serving local and regional markets.",0,2025-05-28
RMC-100044,Umoya Seed,Agriculture,Uganda,Kampala,2017,Growth,Unverified,1,66.0,Gold,72,11,96715.81,8517800.91,True,False,True,True,Standard,https://umoyaseed.africa,info@umoyaseed.africa,+228-27-7570,"Umoya Seed operates in agriculture from Kampala, Uganda, serving local and regional markets.",1,2025-07-29
RMC-100045,Umoya Pay,FinTech,Uganda,Kampala,2014,Early Revenue,Verified,3,54.2,Silver,74,27,128496.6,0.0,True,True,True,True,Suggested,https://umoyapay.africa,info@umoyapay.africa,+225-33-8454,"Umoya Pay operates in fintech from Kampala, Uganda, serving local and regional markets.",3,2025-08-18
RMC-100046,Umoya Remit,FinTech,Egypt,Cairo,2016,Growth,Verified,3,64.5,Silver,83,57,95691.28,0.0,True,True,False,False,Standard,https://umoyaremit.africa,info@umoyaremit.africa,+230-84-8973,"Umoya Remit operates in fintech from Cairo, Egypt, serving local and regional markets.",0,2025-07-20
RMC-100047,Maji Cloud,ICT / Software,South Africa,Johannesburg,2014,Mature,Verified,3,77.7,Gold,71,13,507232.73,0.0,True,False,True,False,Latest,https://majicloud.africa,info@majicloud.africa,+218-07-9883,"Maji Cloud operates in ict / software from Johannesburg, South Africa, serving local and regional markets.",6,2025-04-21
RMC-100048,Delta Ledger,FinTech,Kenya,Nairobi,2018,Early Revenue,Verified,3,54.2,Silver,80,8,36075.8,0.0,True,False,False,False,Standard,https://deltaledger.africa,info@deltaledger.africa,+211-06-8811,"Delta Ledger operates in fintech from Nairobi, Kenya, serving local and regional markets.",3,2025-08-25
RMC-100049,Savannah Soft,ICT / Software,Botswana,Gaborone,2020,Growth,Verified,3,71.7,Gold,73,36,491750.72,0.0,False,False,False,True,Standard,https://savannahsoft.africa,info@savannahsoft.africa,+211-65-2312,"Savannah Soft operates in ict / software from Gaborone, Botswana, serving local and regional markets.",2,2025-08-25
RMC-100050,Nova Outlet,Retail & Ecommerce,Uganda,Kampala,2016,Growth,Pending,2,68.1,Gold,59,31,203458.48,3575689.84,True,False,False,True,Suggested,https://novaoutlet.africa,info@novaoutlet.africa,+212-86-4853,"Nova Outlet operates in retail & ecommerce from Kampala, Uganda, serving local and regional markets.",0,2025-07-03
RMC-100051,Baobab Farms,Agriculture,Ghana,Accra,2017,Early Revenue,Verified,3,43.6,Bronze,75,16,163558.44,0.0,True,True,False,False,Standard,https://baobabfarms.africa,info@baobabfarms.africa,+231-76-1651,"Baobab Farms operates in agriculture from Accra, Ghana, serving local and regional markets.",1,2025-06-08
RMC-100052,Nova Mint,FinTech,Mozambique,Maputo,2019,Growth,Pending,2,52.0,Silver,46,16,92161.93,0.0,True,False,False,False,Suggested,https://novamint.africa,info@novamint.africa,+234-74-9565,"Nova Mint operates in fintech from Maputo, Mozambique, serving local and regional markets.",2,2025-04-23
RMC-100053,Maji Systems,ICT / Software,Senegal,Dakar,2018,Growth,Verified,3,51.9,Silver,99,11,156402.3,0.0,True,True,True,False,Suggested,https://majisystems.africa,info@majisystems.africa,+235-40-4910,"Maji Systems operates in ict / software from Dakar, Senegal, serving local and regional markets.",0,2025-03-19
RMC-100054,Umoya Wallet,FinTech,Senegal,Dakar,2020,Early Revenue,Verified,3,69.2,Gold,66,7,48908.43,0.0,True,True,True,False,Latest,https://umoyawallet.africa,info@umoyawallet.africa,+234-82-5915,"Umoya Wallet operates in fintech from Dakar, Senegal, serving local and regional markets.",2,2025-07-20
RMC-100055,Atlas Shop,Retail & Ecommerce,Zimbabwe,Harare,2023,Idea,Pending,1,70.6,Gold,78,14,23.33,28242.95,False,True,True,False,Standard,https://atlasshop.africa,info@atlasshop.africa,+20-58-2638,"Atlas Shop operates in retail & ecommerce from Harare, Zimbabwe, serving local and regional markets.",0,2025-05-11
RMC-100056,Maji Outlet,Retail & Ecommerce,Tunisia,Tunis,2018,Growth,Pending,1,65.0,Silver,54,29,466877.68,17023182.5,True,False,False,True,Standard,https://majioutlet.africa,info@majioutlet.africa,+221-16-6718,"Maji Outlet operates in retail & ecommerce from Tunis, Tunisia, serving local and regional markets.",2,2025-08-16
RMC-100057,Atlas Lodge,Tourism & Hospitality,Rwanda,Kigali,2020,Growth,Unverified,3,58.1,Silver,41,23,192774.42,0.0,True,False,False,False,Standard,https://atlaslodge.africa,info@atlaslodge.africa,+216-56-9900,"Atlas Lodge operates in tourism & hospitality from Kigali, Rwanda, serving local and regional markets.",1,2025-09-18
RMC-100058,Baobab Systems,ICT / Software,Egypt,Cairo,2020,Early Revenue,Unverified,3,84.1,Platinum,78,22,41915.87,0.0,False,False,False,True,Standard,https://baobabsystems.africa,info@baobabsystems.africa,+229-01-5905,"Baobab Systems operates in ict / software from Cairo, Egypt, serving local and regional markets.",2,2025-07-09
RMC-100059,Kora Solar,Energy & Renewables,Ghana,Accra,2011,Early Revenue,Pending,2,60.7,Silver,46,23,48992.58,0.0,True,False,False,True,Standard,https://korasolar.africa,info@korasolar.africa,+213-13-3546,"Kora Solar operates in energy & renewables from Accra, Ghana, serving local and regional markets.",1,2024-11-30
RMC-100060,Baobab Care,Healthcare,Egypt,Cairo,2017,Prototype,Unverified,3,81.5,Platinum,58,12,1288.71,287428.17,False,True,True,True,Suggested,https://baobabcare.africa,info@baobabcare.africa,+235-43-4335,"Baobab Care operates in healthcare from Cairo, Egypt, serving local and regional markets.",1,2025-07-01
RMC-100061,Savannah Stay,Tourism & Hospitality,Senegal,Dakar,2015,Mature,Unverified,3,20.0,Bronze,87,39,385396.48,21703025.0,False,False,True,True,Standard,https://savannahstay.africa,info@savannahstay.africa,+221-06-2512,"Savannah Stay operates in tourism & hospitality from Dakar, Senegal, serving local and regional markets.",1,2025-07-18
RMC-100062,Zuri Build,Construction & Real Estate,Zambia,Lusaka,2013,Mature,Verified,3,63.0,Silver,80,148,256249.01,5106533.07,True,False,False,True,Standard,https://zuribuild.africa,info@zuribuild.africa,+20-42-3143,"Zuri Build operates in construction & real estate from Lusaka, Zambia, serving local and regional markets.",0,2025-06-09
RMC-100063,Kora Remit,FinTech,Senegal,Dakar,2012,Growth,Verified,3,48.0,Silver,90,40,233941.75,556452.7,False,False,False,False,Latest,https://koraremit.africa,info@koraremit.africa,+227-70-8007,"Kora Remit operates in fintech from Dakar, Senegal, serving local and regional markets.",2,2025-05-07
RMC-100064,Blue Power,Energy & Renewables,Tunisia,Tunis,2016,Prototype,Pending,3,51.8,Silver,62,33,548.87,21098.92,True,False,False,True,Suggested,https://bluepower.africa,info@bluepower.africa,+212-88-3442,"Blue Power operates in energy & renewables from Tunis, Tunisia, serving local and regional markets.",4,2025-05-27
RMC-100065,Atlas Outlet,Retail & Ecommerce,Kenya,Nairobi,2025,Growth,Verified,3,59.2,Silver,84,34,154805.61,0.0,True,True,True,False,Latest,https://atlasoutlet.africa,info@atlasoutlet.africa,+230-18-8041,"Atlas Outlet operates in retail & ecommerce from Nairobi, Kenya, serving local and regional markets.",2,2025-03-12
RMC-100066,Blue Cart,Retail & Ecommerce,South Africa,Johannesburg,2016,Prototype,Verified,3,83.0,Platinum,77,9,151.25,275365.5,False,False,False,True,Latest,https://bluecart.africa,info@bluecart.africa,+224-05-6862,"Blue Cart operates in retail & ecommerce from Johannesburg, South Africa, serving local and regional markets.",1,2025-04-22
RMC-100067,Sahara Construct,Construction & Real Estate,Tanzania,Dar es Salaam,2018,Mature,Pending,3,51.9,Silver,65,31,510079.2,4567625.06,True,False,False,False,Standard,https://saharaconstruct.africa,info@saharaconstruct.africa,+234-13-6794,"Sahara Construct operates in construction & real estate from Dar es Salaam, Tanzania, serving local and regional markets.",0,2025-06-01
RMC-100068,Baobab Industries,Manufacturing,Zambia,Lusaka,2021,Early Revenue,Unverified,1,62.0,Silver,52,12,46700.34,0.0,False,False,False,False,Suggested,https://baobabindustries.africa,info@baobabindustries.africa,+214-30-3662,"Baobab Industries operates in manufacturing from Lusaka, Zambia, serving local and regional markets.",0,2025-03-22
RMC-100069,Blue Market,Retail & Ecommerce,Zambia,Lusaka,2013,Growth,Unverified,2,50.5,Silver,64,19,92130.48,3104012.9,True,False,False,False,Standard,https://bluemarket.africa,info@bluemarket.africa,+223-52-5065,"Blue Market operates in retail & ecommerce from Lusaka, Zambia, serving local and regional markets.",1,2025-09-23
RMC-100070,Delta Travel,Tourism & Hospitality,Uganda,Kampala,2023,Prototype,Verified,3,85.8,Platinum,74,17,78.97,0.0,False,False,True,False,Standard,https://deltatravel.africa,info@deltatravel.africa,+225-04-8711,"Delta Travel operates in tourism & hospitality from Kampala, Uganda, serving local and regional markets.",2,2025-08-05
RMC-100071,Maji Bazaar,Retail & Ecommerce,Rwanda,Kigali,2019,Growth,Verified,3,69.6,Gold,64,19,79873.8,478263.67,True,False,False,False,Suggested,https://majibazaar.africa,info@majibazaar.africa,+224-39-4728,"Maji Bazaar operates in retail & ecommerce from Kigali, Rwanda, serving local and regional markets.",6,2025-08-07
RMC-100072,Blue Remit,FinTech,Rwanda,Kigali,2016,Prototype,Verified,3,69.1,Gold,100,9,583.31,0.0,True,False,False,True,Standard,https://blueremit.africa,info@blueremit.africa,+218-51-6378,"Blue Remit operates in fintech from Kigali, Rwanda, serving local and regional markets.",0,2025-06-22
RMC-100073,Nova Swift,Logistics & Mobility,Senegal,Dakar,2015,Mature,Pending,2,50.1,Silver,68,34,55250.17,10620020.65,False,True,False,True,Suggested,https://novaswift.africa,info@novaswift.africa,+224-82-9346,"Nova Swift operates in logistics & mobility from Dakar, Senegal, serving local and regional markets.",0,2025-09-12
RMC-100074,Atlas Shop,Retail & Ecommerce,Tunisia,Tunis,2014,Early Revenue,Unverified,3,75.7,Gold,67,20,41619.87,150924.8,True,False,False,True,Latest,https://atlasshop.africa,info@atlasshop.africa,+213-33-3925,"Atlas Shop operates in retail & ecommerce from Tunis, Tunisia, serving local and regional markets.",2,2024-12-07
RMC-100075,Blue Power,Energy & Renewables,Senegal,Dakar,2008,Idea,Unverified,3,47.1,Silver,61,8,74.7,0.0,True,False,False,False,Latest,https://bluepower.africa,info@bluepower.africa,+232-55-6663,"Blue Power operates in energy & renewables from Dakar, Senegal, serving local and regional markets.",1,2025-09-06
RMC-100076,Umoya Grid,Energy & Renewables,Morocco,Casablanca,2020,Growth,Verified,3,94.4,Platinum,70,15,45283.17,1997485.63,True,False,False,False,Suggested,https://umoyagrid.africa,info@umoyagrid.africa,+229-14-7311,"Umoya Grid operates in energy & renewables from Casablanca, Morocco, serving local and regional markets.",2,2025-05-16
RMC-100077,Maji Clinic,Healthcare,Algeria,Algiers,2012,Idea,Unverified,1,46.3,Silver,68,21,24.91,13251.42,False,False,True,True,Suggested,https://majiclinic.africa,info@majiclinic.africa,+211-90-8144,"Maji Clinic operates in healthcare from Algiers, Algeria, serving local and regional markets.",0,2025-03-01
RMC-100078,Savannah Industries,Manufacturing,Botswana,Gaborone,2013,Growth,Verified,3,70.1,Gold,90,41,521515.85,18135727.06,True,False,True,True,Suggested,https://savannahindustries.africa,info@savannahindustries.africa,+234-25-6967,"Savannah Industries operates in manufacturing from Gaborone, Botswana, serving local and regional markets.",2,2025-06-10
RMC-100079,Nova Systems,ICT / Software,Zambia,Lusaka,2017,Growth,Unverified,3,69.4,Gold,70,22,318077.44,1329718.06,False,True,False,False,Standard,https://novasystems.africa,info@novasystems.africa,+223-79-6143,"Nova Systems operates in ict / software from Lusaka, Zambia, serving local and regional markets.",2,2025-04-22
RMC-100080,Delta Labs,Manufacturing,Ghana,Accra,2023,Early Revenue,Unverified,2,59.9,Silver,47,40,47236.48,1722115.91,False,False,True,True,Suggested,https://deltalabs.africa,info@deltalabs.africa,+229-39-7691,"Delta Labs operates in manufacturing from Accra, Ghana, serving local and regional markets.",2,2025-05-31
RMC-100081,Delta Ledger,FinTech,Cameroon,Douala,2010,Growth,Pending,2,87.9,Platinum,57,10,113170.22,1320840.75,True,False,False,False,Standard,https://deltaledger.africa,info@deltaledger.africa,+230-16-4143,"Delta Ledger operates in fintech from Douala, Cameroon, serving local and regional markets.",1,2025-09-25
RMC-100082,Sahara Mall,Retail & Ecommerce,Cameroon,Douala,2024,Early Revenue,Pending,2,70.9,Gold,61,44,82392.53,0.0,False,False,True,True,Latest,https://saharamall.africa,info@saharamall.africa,+216-78-5930,"Sahara Mall operates in retail & ecommerce from Douala, Cameroon, serving local and regional markets.",0,2025-03-31
RMC-100083,Blue Solar,Energy & Renewables,Tunisia,Tunis,2021,Idea,Unverified,3,70.7,Gold,84,23,90.44,60453.28,False,False,False,True,Latest,https://bluesolar.africa,info@bluesolar.africa,+222-26-8043,"Blue Solar operates in energy & renewables from Tunis, Tunisia, serving local and regional markets.",0,2025-09-20
RMC-100084,Sahara Cart,Retail & Ecommerce,Mozambique,Maputo,2022,Idea,Verified,3,77.5,Gold,75,14,13.27,0.0,True,False,False,True,Suggested,https://saharacart.africa,info@saharacart.africa,+227-56-8244,"Sahara Cart operates in retail & ecommerce from Maputo, Mozambique, serving local and regional markets.",3,2025-09-02
